fish-00-1,3,None
fish-00-2,4,None
fish-00-3,3,None
fish-01-1,4,None
fish-01-2,4,None
fish-01-3,1,Notch
fish-02-1,2,Deformity
fish-02-2,1,Notch
fish-02-3,4,None
fish-03-1,1,Deformity
fish-03-2,4,None
fish-03-3,3,None
fish-04-1,3,None
fish-04-2,3,None
fish-04-3,2,Deformity
fish-05-1,3,None
fish-05-2,2,Deformity
fish-05-3,4,None
fish-06-1,3,None
fish-06-2,1,Deformity
fish-06-3,2,Notch
fish-07-1,4,None
fish-07-2,3,None
fish-07-3,2,Deformity
fish-08-1,4,None
fish-08-2,4,None
fish-08-3,3,None
fish-09-1,3,None
fish-09-2,1,Bloodstain
fish-09-3,1,Deformity
fish-10-1,2,Deformity
fish-10-2,1,Bloodstain
fish-10-3,2,Excessive Skin
fish-11-1,1,Notch
fish-11-2,4,None
fish-11-3,3,None
fish-12-1,4,None
fish-12-2,1,Deformity
fish-13-1,2,Excessive Skin
fish-13-2,2,Deformity
fish-13-3,2,Excessive Skin
fish-14-1,1,Bloodstain
fish-14-2,4,None
fish-15-1,2,Notch
fish-16-1,1,Notch
fish-17-1,3,None
fish-17-2,4,None
fish-17-3,1,Deformity
fish-18-1,3,None
fish-18-2,1,Deformity
fish-18-3,2,Notch
